av号,播放量,点赞数,评论数,硬币数,转发数,收藏,标题,标签
78156115,884,44,5,8,5,18,【原声大碟】天 德 池 里 上 撤 shuoer,鬼畜 全能打卡挑战 鬼畜调教 自制 洗脑循环 新人 rap 奥利给 
79448716,9694,437,47,136,108,1505,【SEVENTEEN】练习生事情的搞笑事件,明星 SEVENTEEN组合 搞笑 SEVENTEEN 
78974911,26776,949,58,242,84,2070,【博君一肖】陈情令花絮双人时间线4月,博君一肖 
79065040,71462,12161,480,9628,1214,20966,七十二＼全网最全的汉服入坑指南： 700家正版汉服商家收录整理I（A-D篇）,服饰 中国华服日 汉服 全能打卡挑战 同袍 商家 名单 
79367515,166062,5776,252,1039,76,390,热搜篇01：泪目！XDD一战成神，73杀豪取冠军，都给我刷666,实况攻略 网络游戏 游戏视频 游戏解说 日常 绝地求生 韦神 RNG XDD 吃鸡 微博杯 
74298131,172331,12709,536,9186,477,3081,【诉爷】燃炸《克罗地亚狂想曲》，一个人=一支乐队,演奏 bilibili音乐星计划 诉爷 克罗地亚狂想曲 钢琴演奏 
79157596,147487,15728,1577,18437,997,6555,【BTS】直男看防弹历代级酒神舞台！爱豆给粉丝的盛大求婚盛典!!！,明星 舞蹈 综艺 明星舞蹈 BTS 防弹少年团 防弹 Dionysus 酒神 KPOP 全能打卡挑战 MMA REACTION 
75642872,2165295,95193,5677,36089,23746,23570,【互动视频】你有多好色？,互动视频 恋爱 测试 心理 情感 污 性格 宠朕一下好不好 好色 两性 
78697422,65611,278,108,22,6,409,韩剧：男主换下一百多万的名牌衬衫，被穿地摊货的老婆逮到,韩剧 影视剪辑 电视剧 
75084318,13975,8,3,1,0,36,街拍遇到这一幕：真被美女身后的男子“蠢哭了”！,服饰 秀场 时尚 美女 性感 女神 情感 潮流 时装周 模特 街拍 男人 
75401718,69335,9448,149,2947,401,2533,【豫章书院】大善人做好事了。见义勇为，打死无菌包,搞笑 鬼畜 全能打卡挑战 鬼畜调教 恶搞 熊凤山 神医 乌仁吉 豫章书院 大善人 
77452303,384850,18495,1667,9577,798,24346,干货！39分钟带你搞懂中国千年历史,人文 社会 古代 原创 中国 历史 科普向 学习 中国历史 趣味科普人文 干货 
79511465,139512,12141,1357,3518,2774,10871,【博君一肖】糖点密集|锤锤到肉|真到我害怕！ 视频禁二改二传！,明星 博君一肖 王一博 肖战 魏无羡 蓝忘机 陈情令 
77102038,2861,50,7,6,21,122,古典舞《大鱼海棠》,中国舞 舞蹈 中国风 大鱼 大鱼海棠 原创编舞 古典舞 
79133878,248062,9319,229,2112,3134,3224,jojo真人版，有内味了。,真人版 JOJO的奇妙冒险 JOJO 动漫 
79568794,205060,39583,1015,57575,1977,15973,守望地图传：解密阿努比斯地下神殿！破解圣书字的真正含义！,守望先锋 电子竞技 埃及 守望地图传 OW 阿努比斯 欧西里斯 
79465127,86957,3365,437,970,353,648,【元宝撸奇案】妻子无法承受变态的欲望慌称有病，人渣无法控制兽欲开始残害少女，带你了解京城淫魔大案,人文 全能打卡挑战 社会 悬疑 纪实 趣味科普人文 法制 故事 
78264286,431922,1363,574,45,287,381,EraClean超声波清洗机（小米有品众筹）清洗大闸蟹实录，体积限制只能洗一只,数码 小米 黑科技 测评 大闸蟹 智能家居 超声波清洗机 小米有品 
79201631,1600359,72860,8860,38080,28878,34297,我来晚了，付上高清视频,美妆 美妆博主 化妆技巧 
74929830,1897539,84755,1349,35467,14228,37546,【马化腾】影 流 之 主,鬼畜 马化腾 影 流 之 主 影流之主 洗脑 人力VOCALOID 爱河 
79197707,44465,890,237,74,61,207,【套娃之主】一堆B 站app！EMUI10套娃及解除！,数码 全能打卡挑战 APP 平板 手机 套娃 EMUI 
78879515,88866,538,154,40,35,225,苹果触摸门事件！iPhone6plus几乎全军覆没！果粉您中招了吗？,数码 30天vlog挑战 苹果 科普 手机 手机维修 
79110954,297033,18545,428,13074,3645,6345,【庆余年】用家有儿女的方式打开庆余年（末尾有彩蛋）,庆余年 百万剪辑师挑战 剪辑 
79005325,75124,592,301,35,23,158,【洋垃圾】3099元的骁龙855？配备90HZ的2K+出色屏幕，双扬声器真全面屏和升降前摄？史上最罕见的5G洋垃圾就是那么出色！,数码 全能打卡挑战 黑科技 安卓 体验 一加 华强北 Oneplus 骁龙855 
79197170,13005,98,99,7,13,100,［国内］男团练习室实力对比,舞蹈 明星舞蹈 男团 练习室 
76181113,107406,8375,939,6218,655,3236,【诉爷】这版《卡农》很温暖,演奏 诉爷 bilibili音乐星计划 卡农 钢琴曲 
12903265,8544513,198579,4801,176899,95967,271022,【黑虎阿福】我不仅会骚话Rap，我还会用骚话唱歌！,鬼畜 Flo Rida - Whistle 乌鸦坐飞机 龙卷风摧毁停车场 成龙历险记 阿福 骚话rap 鬼畜调教 Whistle 骚话连篇 
77616978,11462,125,5,42,321,417,SummerTime完整版来拉!!! 年会舞蹈跳起来!!,街舞 舞蹈 编舞 红房子 原创编舞 JAZZ 舞蹈教学 舞蹈教程 爵士舞 BON 年会舞蹈 Summertime 
79323536,1237685,136147,1572,24205,2769,9982,父母眼中的食堂，老师眼中的食堂，学生眼中的食堂,搞笑 全能打卡挑战 自制 搞笑视频 千与千寻 真实 学生 食堂 肆式青春 
79222564,9129,409,25,294,32,2323,深度学习：C/C++、2000节巨制、计算机十大模块,C++ C语言 操作系统 算法 C86汇编 数据库 数据结构 计算机网络 计算机原理 项目实战 
79197095,43893,5626,278,735,534,3057,【博君一肖】论：撒狗粮的相像性,明星 博君一肖 
78494136,256909,14742,561,7186,432,8102,三魂七魄到底是什么？古人怎样想象人死后会变为什么的？【中国神话-冥界篇 第一期】,历史 好奇心计划 传说 神话 山海经 中国 原创 趣味科普人文 神话传说 神话故事 
79289950,78779,5071,329,2660,1133,8269,R1SE-重庆演唱会【高清全员】,音乐现场 R1SE 夏之光 LIVE 
79042037,33283,1577,244,619,737,1808,彩虹社套娃（全员版）,VTuber 月之美兔 套娃 熊猫人 大福 小福 彩虹社 有刀 にじさんじ VTUBER Nijisanji 
64628233,948302,2620,814,432,317,3381,可爱在性感面前一文不值,性感 萌妹子 可爱 
76612535,22503,332,36,96,15,194,【姨母团】 (G)I-DLE 《LION》 翻跳 cover,舞蹈 明星舞蹈 全能打卡挑战 KOREA相关 lion queendom 宋雨琦 GIDLE 
79343886,50553,326,485,9,25,78,为啥安卓手机打开游戏时转场动画做不到苹果这样舒服呢？对比一下差距明显啊,数码 安卓 小米 苹果 IOS miui emui 
79236667,85322,2396,169,990,127,864,聊聊我今年入的12个包丨2019 Bags丨Savislook,服饰 时尚 包包 种草 分享 
79450021,3094,63,102,37,3,24,在华强北帮粉丝看了一台2699的Xsmax很意外，把自己都惊呆了！,数码 IPHONE 平板 手机 原装二手机 二手苹果手机 
79189559,128867,2034,267,125,19,532,【明侦】鬼鬼回归，何老师两句话暴露了他的想念……,综艺 明星 撒贝宁 何炅 鬼鬼吴映洁 剪辑 刘昊然 明星大侦探 魏大勋 鬼欧 
75891885,780390,7499,563,1872,1608,3559,渣      男,守望先锋 电子竞技 游戏视频 OW 
79203847,7000,192,17,6,18,137,wayv MAMA直拍我没想到会这么好笑,音乐现场 MAMA wayv 威神v 
79604334,17875,1312,153,424,10,115,曹荣作品--醉拳苏乞儿,明星 娱乐 
79235607,136228,5031,1186,608,104,393,「白问 NO.99期」中端处理器带的动120Hz屏么？千元游戏机如何选,数码 华为 苹果 安卓 三星 小米 手机 小白测评 OPPO VIVO 白问 
79308126,993373,51221,448,12406,3843,14075,雷          神,超级英雄 搞笑 百万剪辑师挑战 搞笑视频 漫威 雷神 雷神3 
79232294,183802,13164,515,5294,538,1438,陈翔六点半：这么小的孩子就要结婚交首付买房，发生了什么？,短片 陈翔六点半 全程高能 奇葩 是在下输了 搞笑 反转 买房 家务 赚钱 首付 
79238265,127122,9960,492,4927,350,5966,【西四x小初x麦子x桃桃】狂喜乱舞♦原创编舞,舞蹈 宅舞 原创编舞 小初 西四 桃桃 狂喜乱舞 麦子 
79509590,110170,2687,492,513,307,529,我们只花了1100块就买到了骁龙855手机！这次在拼夕夕竟然没有翻车？丨牛马测评丨牛机测评,数码 安卓 全能打卡挑战 联想 华为 测评 小米 苹果 三星 手机 
79214588,60213,2589,138,917,114,749,海贼王名场面，拯救不开心,百万剪辑师挑战 动漫 海贼王 剪辑 新人向 
79084390,235115,8856,917,3736,252,5356,【优颖】慎重勇者-圣哉进来结婚！趁教堂还在的时候❤️,宅舞 舞蹈 全能打卡挑战 优颖酱 慎重勇者 
79273366,7576,68,5,4,2,72,一键换装21 RedVelvet Russian Roulette,音乐现场 WENDY 朴秀荣 裴珠泫 KPOP REDVELVET 一键换装 韩语现场 
79091854,100100,4295,410,486,153,771,曝光58同城的罪行,趣闻 全能打卡挑战 社会 生活 诈骗 揭秘 曝光 新闻 58同城 骗局 豫章书院 
75788377,45626,3341,205,1324,1057,4591,【博君一肖】十六学显微镜糖点解析,综艺 博君一肖 快乐大本营 搞笑 
78579916,299877,18302,528,7851,1087,9807,失踪的面积之谜,科普 好奇心计划 数学 魔术 几何 教育 骗术 趣味科普人文 帆雨动画 
65271440,1856526,67650,963,16001,12088,91045,Señorita 这版本跳到真有感觉~,欧美音乐 街舞 舞蹈 爵士舞 舞蹈教学 跳舞 JAZZ 热舞 
78190779,667393,31660,709,7535,3895,5470,【沙雕动画】查寝四大未解之谜，新生的我 太难了,动画短片 学校 宿舍 搞笑动画 原创动画 自制 创意 沙雕 学动画三年 沙雕动画 
78443387,5532,35,36,2,0,24,发一个 安卓  超高  模仿N年前的苹果过度动画 ，各位大佬看看怎么样！,数码 IOS 安卓 动画 特效 手机 超高模仿ios 
78234593,529519,22600,321,6120,11368,13451,米奇giaogiao屋,搞笑 鬼畜 米奇 恶搞 鬼畜调教 GIAO GIAO哥 
79287382,37780,235,70,45,5,311,星球大战莱娅公主真是女神！,星球大战绝地：陨落的武士 美女 电影 女神 影视剪辑 星球大战 STARWARS 经典 莱娅公主 
75557985,2452858,104163,8497,48008,9096,37838,从“吴亦凡”到路人甲| 聊聊我是怎么长残的| 一定要避免的坏习惯,发型 美妆 全能打卡挑战 变丑 护肤 时尚 化妆 吐槽向 分享 变美 口呼吸 
69205620,5902945,54315,1621,5788,4807,40362,一个会“握草”的视频,瘦身塑形 瘦身 励志 美女 健身 性感 训练 
56920510,3750597,176656,13259,172900,36905,167413,2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！,周杰伦 林俊杰 S.H.E 王力宏 王心凌 杨丞琳 经典 流行音乐 音乐选集 
69052629,3438452,315282,13013,232057,47066,107923,被全球最富女歌手Rihanna邀请到私人派对是什么样的一个体验？,美妆 RIHANNA 蕾哈娜 美妆博主 时尚 日日 旅行全记录 
76017474,1282885,64676,1313,27757,13759,32220,银 河 之 主,电音 鬼畜 Future Bass 舞蹈 FUTURE 影流之主 枪弹轨迹 鬼畜调教 爱河 自制 REMIX 
79188154,442707,8596,1108,2412,1968,14507,听一遍就上瘾，克制不住的想收藏  日本冲绳民歌《海边的家-涙そうそう》,音乐现场 美妙天堂 歌曲 音乐 现场 日语现场 
79279910,19121,1123,60,258,170,1527,【金硕珍】JIN言JIN语,明星 金硕珍JIN BTS防弹少年团 
79326625,436516,4434,1482,170,2461,1520,史 上 最 草 剧 情,特摄 假面骑士 假面骑士zeroone 草 伊兹 假面骑士01 
79093185,609,26,12,16,3,18,【奥利给】从零开始的异世界生活,鬼畜 UTAU 动画 音乐 人力VOCALOID ED 巨魔战将 雷姆 从零开始的异世界生活 奥利给 STYXHELIX 
